"Question";"Category";"Answer"
"Как я могу сдать задание?";"Assignments";"Чтобы сдать задание, зайдите в свой личный кабинет, выберите нужный курс и загрузите файл с выполненным заданием."
"Когда начинается следующий курс?";"Course Schedule";"Следующий курс начинается 1 сентября. Расписание курсов можно посмотреть на нашем сайте."
"Я не могу войти в свой аккаунт.";"Technical Issues";"Если у вас возникли проблемы со входом в аккаунт, попробуйте сбросить пароль. Если проблема сохраняется, обратитесь в техническую поддержку."
"Как я могу связаться с преподавателем?";"Communication";"Вы можете связаться с преподавателем через систему сообщений в личном кабинете или написать на его электронную почту."
"Какие требования к выполнению задания?";"Clarification Needed";"Уточните, пожалуйста, о каком конкретно задании идет речь."
"Где я могу найти дополнительные материалы по курсу?";"Course Materials";"Дополнительные материалы по курсу доступны в разделе ""Ресурсы"" в личном кабинете."
"Как я могу оплатить обучение?";"Payments";"Вы можете оплатить обучение с помощью банковской карты на нашем сайте или получить счет для оплаты через бухгалтерию вашей компании."
"Мой вопрос не относится к учебе.";"Other";"Redirect to Human"
"хуй";"Other1";"это вопрос к Тимофею"
"как какать";"Other2";"это вопрос к Алексею"
